#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24024805;2026-02-17 00:00:00;00;MAD;51;water;148;0;0;0;2026-02-17 07:16:00;12.140;0.000;0.101;2026-01-01 00:00:00;1.928;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.068;2025-09-30 00:00:00;0.068;2025-10-31 00:00:00;0.075;2025-11-30 00:00:00;0.101;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
0016044252;;24024805;2026-02-18 00:00:00;00;MAD;51;water;149;0;0;0;2026-02-18 07:16:00;12.528;0.000;0.101;2026-01-01 00:00:00;1.928;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.068;2025-09-30 00:00:00;0.068;2025-10-31 00:00:00;0.075;2025-11-30 00:00:00;0.101;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
0016044252;;24024805;2026-02-18 15:00:00;00;MAD;51;water;150;0;0;0;2026-02-18 22:15:00;12.798;0.000;0.101;2026-01-01 00:00:00;1.928;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.068;2025-09-30 00:00:00;0.068;2025-10-31 00:00:00;0.075;2025-11-30 00:00:00;0.101;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24024806;2026-02-17 00:00:00;00;MAD;51;water;148;0;0;0;2026-02-17 07:28:00;1.683;0.000;0.131;2026-01-01 00:00:00;0.478;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.038;2025-09-30 00:00:00;0.091;2025-10-31 00:00:00;0.094;2025-11-30 00:00:00;0.131;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
0016044252;;24024806;2026-02-18 00:00:00;00;MAD;51;water;149;0;0;0;2026-02-18 07:28:00;1.714;0.000;0.131;2026-01-01 00:00:00;0.478;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.038;2025-09-30 00:00:00;0.091;2025-10-31 00:00:00;0.094;2025-11-30 00:00:00;0.131;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
0016044252;;24024806;2026-02-18 15:00:00;00;MAD;51;water;150;0;0;0;2026-02-18 22:28:00;1.770;0.000;0.131;2026-01-01 00:00:00;0.478;2026-01-31 00:00:00;0.000;2015-02-28 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.038;2025-09-30 00:00:00;0.091;2025-10-31 00:00:00;0.094;2025-11-30 00:00:00;0.131;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
#serial-number;device-position;device-identification;created;value-data-count;manufacturer;version;device-type;access-number;status;signature;fabrication-no,,inst-value,0,0,0;datetime,,inst-value,0,0,0;volume,m3,inst-value,0,0,0;volume acc-of-abs-value-only-if-neg-contr,m3,inst-value,0,0,0;volume,m3,inst-value,0,0,1;date,,inst-value,0,0,1;volume,m3,inst-value,0,0,2;date,,inst-value,0,0,2;volume,m3,inst-value,0,0,3;date,,inst-value,0,0,3;volume,m3,inst-value,0,0,4;date,,inst-value,0,0,4;volume,m3,inst-value,0,0,5;date,,inst-value,0,0,5;volume,m3,inst-value,0,0,6;date,,inst-value,0,0,6;volume,m3,inst-value,0,0,7;date,,inst-value,0,0,7;volume,m3,inst-value,0,0,8;date,,inst-value,0,0,8;volume,m3,inst-value,0,0,9;date,,inst-value,0,0,9;volume,m3,inst-value,0,0,10;date,,inst-value,0,0,10;volume,m3,inst-value,0,0,11;date,,inst-value,0,0,11;volume,m3,inst-value,0,0,12;date,,inst-value,0,0,12;volume,m3,inst-value,0,0,13;date,,inst-value,0,0,13;date future-value,,inst-value,0,0,0;storage-interval,month(s),inst-value,0,0,0;error-flags-dev-spec,,inst-value,0,0,0;fw-version,,inst-value,0,0,0;other-sw-version,,inst-value,0,0,0
0016044252;;24024807;2026-02-17 00:00:00;00;MAD;51;water;151;0;0;0;2026-02-17 07:17:00;0.153;0.000;0.153;2026-01-01 00:00:00;0.153;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.035;2025-09-30 00:00:00;0.072;2025-10-31 00:00:00;0.096;2025-11-30 00:00:00;0.153;2025-12-31 00:00:00;2027-01-01 00:00:00;12;24;772;24890
0016044252;;24024807;2026-02-18 00:00:00;00;MAD;51;water;152;0;0;0;2026-02-18 07:17:00;0.170;0.000;0.153;2026-01-01 00:00:00;0.153;2026-01-31 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.000;2000-01-01 00:00:00;0.035;2025-09-30 00:00:00;0.072;2025-10-31 00:00:00;0.096;2025-11-30 00:00:00;0.153;2025-12-31 00:00:00;2027-01-01 00:00:00;12;8;772;24890
